# 2021   6   1   9  2021   6   1  10  37    .02
#year,month,day,hour,lat,lon,ave(frp),max(frp),ave(confidence),N
2021,6,1,9,35.34,139.88,17.45,17.45,1.00,1
2021,6,1,9,35.30,135.12,7.86,7.86,1.00,1
2021,6,1,9,35.04,136.88,30.33,30.33,1.00,1
2021,6,1,9,34.68,131.84,6.16,6.16,1.00,1
2021,6,1,9,34.16,131.44,8.63,10.13,1.00,2
2021,6,1,9,33.32,130.94,9.85,9.85,1.00,1
2021,6,1,9,33.16,106.16,16.18,16.18,1.00,1
2021,6,1,9,33.06,105.74,14.48,14.48,3.00,1
2021,6,1,9,33.06,105.76,14.48,14.48,3.00,1
2021,6,1,9,31.82,130.30,7.89,8.04,1.00,3
2021,6,1,9,31.74,130.76,7.81,7.81,1.00,1
2021,6,1,9,29.34,97.90,53.83,53.83,3.00,1
2021,6,1,9,29.34,97.92,53.83,53.83,3.00,1
2021,6,1,9,29.34,97.94,57.28,57.28,3.00,1
2021,6,1,9,27.92,80.88,13.49,13.49,3.00,1
2021,6,1,9,27.92,80.90,13.49,13.49,3.00,1
2021,6,1,9,27.92,80.92,13.53,13.53,3.00,1
2021,6,1,9,27.90,80.90,13.49,13.49,3.00,1
2021,6,1,9,27.90,80.92,13.53,13.53,3.00,1
2021,6,1,9,27.90,80.94,13.53,13.53,3.00,1
2021,6,1,9,27.74,81.66,7.20,7.20,3.00,1
2021,6,1,9,27.74,81.68,7.20,7.20,3.00,1
2021,6,1,9,27.74,81.70,7.24,7.24,3.00,1
2021,6,1,9,22.78,86.16,20.51,26.05,1.00,5
2021,6,1,9,22.78,86.18,20.21,26.05,1.00,5
2021,6,1,9,22.54,87.58,10.76,10.76,1.00,1
2021,6,1,9,22.28,106.56,29.38,29.38,1.00,1
2021,6,1,9,21.26,107.20,39.87,39.87,1.00,1
2021,6,1,9,21.20,106.94,40.15,40.15,1.00,1
2021,6,1,9,21.16,106.12,29.85,29.85,1.00,1
2021,6,1,9,21.10,105.98,32.89,32.89,1.00,1
2021,6,1,9,20.96,106.02,23.66,24.68,1.00,2
2021,6,1,9,20.52,105.90,16.17,19.35,1.00,4
2021,6,1,9,20.44,106.16,17.68,21.02,1.00,6
2021,6,1,9,20.44,106.32,14.57,14.57,1.00,1
2021,6,1,9,20.44,106.34,17.16,18.05,1.00,4
2021,6,1,9,20.42,106.14,16.79,16.79,1.00,1
2021,6,1,9,20.42,106.16,16.77,20.69,1.00,3
2021,6,1,9,20.02,105.12,23.91,23.91,1.00,1
2021,6,1,9,19.82,105.76,20.62,22.18,1.00,2
2021,6,1,9,19.82,105.78,20.62,22.18,1.00,2
2021,6,1,9,19.74,105.54,33.20,33.20,1.00,1
2021,6,1,9,17.98,102.58,21.38,21.38,1.00,1
2021,6,1,9,17.98,102.60,21.34,21.34,1.00,1
2021,6,1,9,17.98,102.62,23.41,23.41,1.00,1
2021,6,1,9,17.52,121.54,106.19,106.19,5.00,1
2021,6,1,9,17.40,102.76,23.18,27.43,1.00,3
2021,6,1,9,17.40,102.78,23.22,23.22,1.00,1
2021,6,1,9,17.40,102.80,23.22,23.22,1.00,1
2021,6,1,9,17.30,103.70,25.07,25.35,1.00,2
2021,6,1,9,17.30,103.72,25.07,25.35,1.00,2
2021,6,1,9,16.92,96.06,14.74,16.31,1.00,4
2021,6,1,9,16.90,96.06,17.95,20.52,1.00,4
2021,6,1,9,16.88,96.04,16.93,22.56,1.00,4
2021,6,1,9,16.86,96.00,17.85,17.92,1.00,2
2021,6,1,9,16.86,96.02,17.82,17.92,1.00,2
2021,6,1,9,16.86,96.04,21.48,27.54,1.00,4
