# 2021   6   1  16  2021   6   1  18  37    .02
#year,month,day,hour,lat,lon,ave(frp),max(frp),ave(confidence),N
2021,6,1,16,39.44,110.48,8.27,9.92,3.00,2
2021,6,1,16,39.22,108.98,8.03,8.03,1.00,1
2021,6,1,16,39.20,108.96,11.94,11.94,1.00,1
2021,6,1,16,39.18,108.96,11.94,11.94,1.00,1
2021,6,1,16,39.10,109.44,7.51,7.51,1.00,1
2021,6,1,16,39.10,109.46,6.12,9.09,3.00,6
2021,6,1,16,39.10,109.48,6.12,9.09,3.00,6
2021,6,1,16,39.10,109.86,10.16,10.16,1.00,1
2021,6,1,16,39.10,109.88,24.20,31.22,1.00,3
2021,6,1,16,39.10,109.90,24.20,31.22,1.00,3
2021,6,1,16,39.08,109.48,4.47,6.58,2.67,6
2021,6,1,16,38.72,110.16,11.61,11.61,3.00,1
2021,6,1,16,38.70,110.16,11.61,11.61,1.00,1
2021,6,1,16,37.20,99.72,4.15,4.15,1.00,1
2021,6,1,16,37.18,99.72,4.15,4.15,3.00,1
2021,6,1,16,37.18,99.74,4.15,4.15,3.00,1
2021,6,1,16,35.94,140.68,25.94,25.94,1.00,1
2021,6,1,16,34.58,86.96,17.83,17.83,1.00,1
2021,6,1,16,34.56,86.98,13.50,13.50,1.00,1
2021,6,1,16,34.56,87.00,13.50,13.50,1.00,1
2021,6,1,16,33.92,88.16,10.09,10.64,1.00,2
2021,6,1,16,33.92,88.18,10.09,10.64,1.00,2
2021,6,1,16,33.92,88.20,10.09,10.64,1.00,2
2021,6,1,16,33.90,86.88,8.30,8.30,1.00,1
2021,6,1,16,33.90,86.90,8.34,8.34,1.00,1
2021,6,1,16,33.90,86.92,8.34,8.34,1.00,1
2021,6,1,16,33.90,88.46,3.16,3.16,1.00,1
2021,6,1,16,33.90,88.48,3.16,3.16,3.00,1
2021,6,1,16,33.12,100.72,14.32,14.32,3.00,1
2021,6,1,16,33.10,87.64,5.06,5.60,1.00,2
2021,6,1,16,33.10,87.66,5.06,5.60,1.00,2
2021,6,1,16,33.10,87.68,5.06,5.60,1.00,2
2021,6,1,16,33.02,88.54,4.33,4.33,1.00,1
2021,6,1,16,32.94,88.72,10.07,10.07,3.00,1
2021,6,1,16,32.94,88.74,10.07,10.07,3.00,1
2021,6,1,16,32.76,89.50,4.71,4.71,3.00,1
2021,6,1,16,32.14,108.28,2.23,2.23,1.00,1
2021,6,1,16,31.36,110.16,49.15,49.15,3.00,1
2021,6,1,16,31.36,110.18,53.26,53.26,3.00,1
2021,6,1,16,31.34,110.14,15.06,15.06,3.00,1
2021,6,1,16,31.32,110.06,22.76,22.76,3.00,1
2021,6,1,16,31.32,110.08,22.76,22.76,3.00,1
